t[min],T_inlet[C],T_outlet[C],w_clothes_ideal+noise[g],w_clothes_ideal+noise[%]
7.033333333,45.6,57.8,613.4902495,2.762185851
7.066666667,45.6,57.85,613.263613,2.724223279
7.1,45.6,57.85,613.8260397,2.818432107
7.133333333,45.45,57.85,613.9230944,2.834689179
7.166666667,45.5,57.95,614.4426227,2.921712344
7.2,45.8,58.05,614.0354164,2.85350358
7.233333333,45.75,58.05,613.7613481,2.807595995
7.266666667,45.8,58.05,613.627648,2.785200676
7.3,45.8,58.1,613.586033,2.778229989
7.333333333,45.9,58.25,613.4171925,2.749948488
7.366666667,46.05,58.3,613.3373163,2.7365689
7.4,46,58.3,614.6139889,2.950416909
7.433333333,46.05,58.3,615.4680221,3.093471035
7.466666667,46.1,58.35,614.1487473,2.872486981
7.5,46.05,58.35,613.8885984,2.828910951
7.533333333,46.05,58.45,614.0207969,2.851054753
7.566666667,46.1,58.5,614.8298298,2.986571154
7.6,46.2,58.5,615.0889059,3.02996749
7.633333333,46.2,58.55,616.008285,3.183967344
7.666666667,46.15,58.6,614.600432,2.948146065
7.7,46.35,58.6,613.2194605,2.716827562
7.733333333,46.3,58.65,613.9764509,2.843626618
7.766666667,46.3,58.75,613.213419,2.715815572
7.8,46.35,58.75,615.0375377,3.021363102
7.833333333,46.35,58.8,614.3652178,2.908746705
7.866666667,46.5,58.75,613.9677209,2.842164311
7.9,46.5,58.85,614.391641,2.913172702
7.933333333,46.5,58.9,614.1091672,2.865857146
7.966666667,46.55,58.95,615.1106375,3.033607628
8,46.7,59.05,615.3855888,3.079663112
8.033333333,46.75,59.05,614.1094682,2.865907569
8.066666667,46.65,59.1,615.2451584,3.056140436
8.1,46.6,59.05,614.3690761,2.909392977
8.133333333,46.7,59.15,614.1690925,2.875894887
8.166666667,46.7,59.2,614.3025961,2.898257299
8.2,46.65,59.2,614.6894369,2.963054753
8.233333333,46.65,59.35,615.6730566,3.127815174
8.266666667,46.75,59.4,614.8910483,2.996825515
8.3,46.75,59.4,614.6280543,2.952772912
8.333333333,46.9,59.45,614.9738078,3.010688067
8.366666667,46.8,59.6,615.0022864,3.01545836
8.4,46.9,59.6,615.7067874,3.133465219
8.433333333,47,59.65,615.2632321,3.059167852
8.466666667,47.15,59.65,614.5493847,2.939595422
8.5,47.2,59.6,613.6751821,2.793162833
8.533333333,47.25,59.6,613.885475,2.828387779
8.566666667,47.15,59.65,614.6340165,2.953771605
8.6,47.3,59.6,614.9828115,3.012196238
8.633333333,47.35,59.7,615.4216406,3.085701938
8.666666667,47.35,59.75,614.8039405,2.982234595
8.7,47.2,59.7,616.2985071,3.232580751
8.733333333,47.2,59.75,615.4497225,3.090405787
8.766666667,47.35,59.7,615.3808784,3.078874107
8.8,47.4,59.7,615.1769962,3.044722982
8.833333333,47.45,59.75,614.9164261,3.001076402
8.866666667,47.55,59.9,615.4903672,3.097213941
8.9,47.5,59.85,614.9222449,3.002051071
8.933333333,47.65,59.9,616.6285154,3.28785852
8.966666667,47.5,59.95,615.6145644,3.11801748
9,47.45,60,615.1267775,3.036311144
9.033333333,47.35,59.95,616.4187725,3.252725713
9.066666667,47.5,60,615.699705,3.132278893
9.1,47.65,60.1,616.65749,3.292711886
9.133333333,47.65,60.2,615.095576,3.031084757
9.166666667,47.7,60.1,615.3170105,3.068175964
9.2,47.7,60.1,614.6328784,2.953580977
9.233333333,47.8,60.15,616.0072495,3.183793882
9.266666667,47.7,60.15,615.5669965,3.11004967
9.3,47.75,60.2,616.1041318,3.200022075
9.333333333,47.9,60.3,616.6708819,3.294955093
9.366666667,47.8,60.35,616.1107375,3.201128552
9.4,47.65,60.35,615.9786063,3.178996026
9.433333333,47.75,60.3,616.7450351,3.307376062
9.466666667,47.85,60.35,616.6384492,3.289522481
9.5,47.7,60.35,615.9362188,3.171895949
9.533333333,47.95,60.45,617.2071031,3.384774382
9.566666667,47.85,60.45,616.9727622,3.345521312
9.6,48,60.5,615.164592,3.042645234
9.633333333,47.95,60.55,617.4732471,3.429354621
9.666666667,48.1,60.55,615.9679574,3.177212296
9.7,48.15,60.65,617.2815616,3.397246499
9.733333333,48.2,60.7,615.9212965,3.169396403
9.766666667,48.25,60.7,616.5257986,3.270653037
9.8,48.35,60.8,616.8963065,3.332714653
9.833333333,48.3,60.85,616.4780049,3.262647385
9.866666667,48.2,60.8,616.5411734,3.273228383
9.9,48.2,60.8,616.730277,3.304904016
9.933333333,48.2,60.8,616.8982109,3.333033658
9.966666667,48.25,60.85,617.9793024,3.514121011
10,48.25,60.9,618.0202765,3.520984335
10.03333333,48.2,61.05,616.4602417,3.259671973
10.06666667,48.5,61.1,617.6980613,3.467011939
10.1,48.45,61.05,617.0037126,3.350705624
10.13333333,48.35,61.05,617.7054251,3.468245417
10.16666667,48.6,61.1,617.466715,3.428260471
10.2,48.55,61.25,616.9846992,3.347520807
10.23333333,48.55,61.25,617.7026167,3.467774986
10.26666667,48.65,61.2,617.5122048,3.435880206
10.3,48.65,61.15,618.1667503,3.545519309
10.33333333,48.6,61.3,617.6041035,3.451273624
10.36666667,48.7,61.25,620.0073041,3.853819783
10.4,48.8,61.25,617.7455856,3.474972464
10.43333333,48.9,61.3,617.4984928,3.433583379
10.46666667,48.95,61.35,617.4171254,3.419953999
10.5,48.8,61.4,618.1626849,3.544838346
10.53333333,48.7,61.35,617.7968849,3.483565315
10.56666667,48.8,61.4,617.6069925,3.45175754
10.6,48.8,61.35,618.2859013,3.565477605
10.63333333,48.8,61.3,618.6380539,3.624464635
10.66666667,48.65,61.35,618.0761566,3.530344488
10.7,48.65,61.45,618.1559747,3.54371436
10.73333333,48.65,61.6,617.99108,3.516093797
10.76666667,48.9,61.55,618.9256972,3.67264609
10.8,49.1,61.55,618.8447205,3.659082158
10.83333333,49.1,61.55,618.4787368,3.597778361
10.86666667,49.25,61.55,620.3818346,3.916555217
10.9,49.15,61.6,618.8939441,3.667327317
10.93333333,49.1,61.65,618.5520835,3.610064242
10.96666667,48.95,61.7,617.8179895,3.48710041
11,49.05,61.7,618.6061253,3.61911646
11.03333333,49.05,61.65,619.0657299,3.696102163
11.06666667,49.3,61.75,618.3718185,3.579869095
11.1,49.45,61.75,619.1721257,3.713923911
11.13333333,49.3,61.8,618.3486633,3.575990497
11.16666667,49.1,61.9,620.6710482,3.964999694
11.2,49.05,61.9,617.6437012,3.457906407
11.23333333,49.15,61.95,619.2635791,3.729242738
11.26666667,49.05,61.9,619.8030594,3.819607935
11.3,49.15,61.95,619.4601274,3.7621654
11.33333333,49.2,62,619.446974,3.759962149
11.36666667,49.45,62.05,620.1164332,3.872099359
11.4,49.55,62,619.9018594,3.836157346
11.43333333,49.6,61.95,620.0190088,3.855780368
11.46666667,49.65,62,620.1959128,3.885412529
11.5,49.6,62.1,620.0027329,3.85305408
11.53333333,49.6,62.1,620.2113279,3.887994626
11.56666667,49.65,62.15,619.1547612,3.711015283
11.6,49.75,62.25,620.0888366,3.86747682
11.63333333,49.8,62.3,620.1953301,3.885314918
11.66666667,49.85,62.25,619.0880111,3.699834356
11.7,49.8,62.3,621.0780481,4.033173886
11.73333333,49.85,62.3,619.6488471,3.793776728
11.76666667,49.85,62.25,619.1731669,3.7140983
11.8,49.75,62.35,621.2778956,4.066649173
11.83333333,49.9,62.4,619.8470802,3.826981604
11.86666667,50.05,62.55,620.573051,3.948584757
11.9,49.9,62.55,621.1230552,4.040712758
11.93333333,50.05,62.6,621.7598061,4.147371201
11.96666667,50.1,62.65,620.8275814,3.991219658
12,50,62.6,620.6424012,3.960201213
12.03333333,50.1,62.7,619.7354047,3.808275488
12.06666667,50.05,62.65,620.7530177,3.978729941
12.1,50.1,62.6,621.9973342,4.187158155
12.13333333,50.1,62.7,621.088714,4.034960465
12.16666667,50.2,62.6,620.8526299,3.995415399
12.2,50.15,62.6,621.2162034,4.056315478
12.23333333,50.05,62.6,620.4937695,3.935304778
12.26666667,50.05,62.7,621.345067,4.077900665
12.3,50.15,62.7,620.9725094,4.015495705
12.33333333,50.25,62.7,621.9381735,4.177248491
12.36666667,50.3,62.7,622.3448237,4.245364111
12.4,50.45,62.65,620.9057815,4.004318506
12.43333333,50.15,62.6,621.8393419,4.160693778
12.46666667,50.05,62.7,621.8209982,4.157621136
12.5,50.25,62.65,622.2463319,4.228866321
12.53333333,50.35,62.75,621.0176449,4.023056099
12.56666667,50.2,62.8,623.1976717,4.388219722
12.6,50.2,62.8,622.9986846,4.354888543
12.63333333,50.55,62.85,621.7488676,4.145538965
12.66666667,50.6,62.85,622.8622437,4.332034128
12.7,50.7,63,622.9269399,4.342871007
12.73333333,50.65,63,622.1880605,4.219105613
12.76666667,50.55,63,623.5630819,4.449427459
12.8,50.35,62.85,622.7885023,4.319682135
12.83333333,50.5,62.9,622.4628835,4.265139609
12.86666667,50.4,62.95,622.9442996,4.345778835
12.9,50.25,63,622.9229437,4.342201621
12.93333333,50.5,63.05,621.2427296,4.060758723
12.96666667,50.65,63,622.9675441,4.349672385
13,50.55,63,623.0186196,4.358227731
13.03333333,50.75,63.1,623.032461,4.360546223
13.06666667,50.8,63.05,623.5093725,4.4404309
13.1,50.75,63.2,623.5928771,4.454418268
13.13333333,50.8,63.2,624.1092481,4.540912581
13.16666667,50.8,63.3,623.6157926,4.458256713
13.2,50.7,63.35,623.3125169,4.407456772
13.23333333,50.75,63.35,624.0600176,4.532666259
13.26666667,50.85,63.35,623.6312057,4.460838473
13.3,50.95,63.4,623.990084,4.52095209
13.33333333,51.05,63.4,624.9380324,4.679737428
13.36666667,51,63.45,623.8776575,4.502120185
13.4,50.9,63.5,623.853625,4.498094647
13.43333333,50.95,63.55,624.7579239,4.649568485
13.46666667,50.9,63.5,624.2938884,4.57184061
13.5,50.95,63.55,623.7669661,4.483578915
13.53333333,51.05,63.55,625.0301537,4.695168121
13.56666667,51.05,63.6,626.2303166,4.89620044
13.6,51.25,63.75,625.0965093,4.70628297
13.63333333,51.15,63.75,624.1939777,4.555105136
13.66666667,51.05,63.75,625.3330491,4.745904371
13.7,51.2,63.7,624.2810085,4.569683162
13.73333333,51.4,63.8,625.2714375,4.735584169
13.76666667,51.35,63.75,624.596106,4.622463322
13.8,51.2,63.8,625.7054373,4.808280961
13.83333333,51.35,63.8,625.5728858,4.786078028
13.86666667,51.4,63.8,625.2414428,4.730559935
13.9,51.3,63.8,625.5671953,4.785124847
13.93333333,51.3,63.8,626.1734853,4.886680952
13.96666667,51.15,63.85,625.4640787,4.767852385
14,51.3,63.9,625.2112114,4.725496052
14.03333333,51.45,63.95,626.3782757,4.920984198
14.06666667,51.25,63.95,626.6854803,4.972442269
14.1,51.45,63.95,626.5498175,4.949718171
14.13333333,51.65,63.85,626.0183515,4.86069539
14.16666667,51.65,63.8,626.0031858,4.858155076
14.2,51.5,63.95,626.2577816,4.900800933
14.23333333,51.4,63.95,626.5891252,4.956302383
14.26666667,51.55,63.95,627.3512052,5.083953971
14.3,51.7,64.05,627.2664875,5.069763407
14.33333333,51.7,64.05,626.5385557,4.947831768
14.36666667,51.75,64.15,626.3259704,4.91222284
14.4,51.7,64.05,627.4093505,5.093693559
14.43333333,51.85,64.05,627.9333431,5.181464507
14.46666667,51.8,64.1,627.8695582,5.170780275
14.5,51.85,64.1,627.4203085,5.09552907
14.53333333,51.9,64.15,627.097395,5.041439693
14.56666667,51.95,64.25,629.2143166,5.39603293
14.6,51.9,64.2,628.631397,5.298391456
14.63333333,51.9,64.2,628.2353343,5.232049301
14.66666667,52.05,64.2,627.6063371,5.126689628
14.7,52,64.2,629.1515483,5.385518985
14.73333333,52,64.25,627.6402045,5.132362566
14.76666667,52,64.2,629.1805238,5.39037249
14.8,51.95,64.25,630.0116155,5.529583838
14.83333333,51.95,64.25,629.2317251,5.398948926
14.86666667,52,64.3,629.2258553,5.397965705
14.9,51.95,64.4,630.4090935,5.596163065
14.93333333,51.95,64.35,628.661597,5.303450083
14.96666667,52.15,64.4,629.4721341,5.43921844
15,52.25,64.4,629.0484595,5.368251168
15.03333333,52.15,64.45,629.1384476,5.383324554
15.06666667,52.25,64.5,629.5505748,5.452357587
15.1,52.4,64.5,630.3481879,5.585961123
15.13333333,52.4,64.6,628.6091069,5.294657773
15.16666667,52.4,64.6,630.6739923,5.640534719
15.2,52.4,64.65,630.061388,5.537920937
15.23333333,52.3,64.65,631.6605142,5.805781275
15.26666667,52.4,64.65,628.9309218,5.348563111
15.3,52.4,64.65,630.5251729,5.615606854
15.33333333,52.3,64.65,631.3103602,5.747129017
15.36666667,52.3,64.75,631.1724662,5.724031191
15.4,52.35,64.8,630.5471795,5.619293052
15.43333333,52.6,64.9,630.8114071,5.663552273
15.46666667,52.5,64.9,630.4508508,5.603157583
15.5,52.7,64.85,631.2216655,5.732272283
15.53333333,52.65,64.95,631.4255665,5.76642655
15.56666667,52.55,65,631.2371032,5.734858152
15.6,52.6,65.05,632.1234933,5.88333221
15.63333333,52.6,65,630.6252336,5.632367439
15.66666667,52.85,64.95,631.7710317,5.824293421
15.7,52.8,65,632.3685691,5.924383428
15.73333333,52.95,65.1,631.0821769,5.708907354
15.76666667,53,65.05,632.7923695,5.995371769
15.8,52.8,65.05,632.3750526,5.92546944
15.83333333,52.65,65,632.3307285,5.918044976
15.86666667,52.6,65.05,633.4270023,6.101675419
15.9,52.75,64.9,631.8476413,5.837125854
15.93333333,52.85,64.9,631.9810225,5.859467756
15.96666667,52.7,65,634.0051406,6.198516007
16,52.85,64.95,634.0239301,6.201663328
16.03333333,52.85,65.1,633.1698488,6.058601146
16.06666667,52.9,65.1,633.688523,6.145481235
16.1,52.9,65.15,635.0440428,6.372536485
16.13333333,52.9,65.15,633.4197297,6.10045723
16.16666667,52.9,65.15,633.4169618,6.099993609
16.2,52.9,65.1,634.1788299,6.227609702
16.23333333,52.85,65.15,634.3504765,6.25636122
16.26666667,52.85,65.25,636.0035252,6.533253802
16.3,52.85,65.3,634.8922838,6.347116216
16.33333333,52.9,65.2,634.5348682,6.287247604
16.36666667,52.9,65.25,634.3950062,6.263820134
16.4,53.05,65.2,634.5513274,6.290004589
16.43333333,53.15,65.25,635.8865775,6.513664578
16.46666667,53.25,65.25,634.7098946,6.316565261
16.5,53.15,65.25,635.5216931,6.452544909
16.53333333,53,65.35,635.7670962,6.493650956
16.56666667,53.15,65.35,636.3889924,6.597821176
16.6,53.05,65.45,636.3590563,6.592806744
16.63333333,53.15,65.4,635.6239489,6.469673183
16.66666667,53.15,65.4,636.4646528,6.610494608
16.7,53,65.55,637.6037687,6.801301297
16.73333333,52.9,65.55,635.9467386,6.523741805
16.76666667,53.2,65.6,635.7939187,6.498143838
16.8,53.2,65.55,636.799138,6.666522277
16.83333333,53.3,65.55,636.3390403,6.589453993
16.86666667,53.35,65.55,636.1381266,6.555800102
16.9,53.35,65.6,637.0007378,6.700291088
16.93333333,53.35,65.75,637.8512231,6.842750944
16.96666667,53.2,65.7,637.3166333,6.753204909
17,53.3,65.75,636.9482118,6.69149276
